City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
1,Ca Mau,VN,75.45,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
3,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
7,Karratha,AU,80.51,broken clouds,-20.7377,116.8463,ibis Styles Karratha
8,Rikitea,PF,76.59,few clouds,-23.1203,-134.9692,People ThankYou
9,Tabou,CI,80.08,scattered clouds,4.423,-7.3528,hotêl doufoulougou
10,Georgetown,MY,76.98,thunderstorm with light rain,5.4112,100.3354,Cititel Penang
21,Kasongo,CD,70.02,light rain,-4.45,26.6667,Guest Hôtel
27,Sal Rei,CV,77.56,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
32,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
33,Kawalu,ID,72.99,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
36,Chuy,UY,76.26,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
39,Sao Sebastiao,BR,73.38,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
42,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
43,Ormond Beach,US,71.1,scattered clouds,29.2858,-81.0559,Makai Beach Lodge
45,Atuona,PF,77.27,light rain,-9.8,-139.0333,Villa Enata
48,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Kavaratti,IN,81.1,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
60,Butaritari,KI,82.17,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
61,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
62,Bacon,PH,80.91,overcast clouds,13.0378,124.0411,Siama Hotel
63,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
66,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
