City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
0,Dikson,RU,73.5069,80.5464,5.79,89,100,10.02,overcast clouds
1,Ca Mau,VN,9.1769,105.15,75.45,91,99,7.07,overcast clouds
2,Katsuura,JP,35.1333,140.3,46.51,68,0,9.66,clear sky
3,Mahebourg,MU,-20.4081,57.7,76.24,88,40,4.61,scattered clouds
4,Lebu,CL,-37.6167,-73.65,60.15,75,22,8.57,few clouds
5,San Cristobal,VE,7.7669,-72.225,68.18,91,69,2.59,broken clouds
6,Albany,US,42.6001,-73.9662,40.75,52,3,3.51,clear sky
7,Karratha,AU,-20.7377,116.8463,80.51,47,74,9.66,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,76.59,78,18,15.12,few clouds
9,Tabou,CI,4.423,-7.3528,80.08,83,38,6.87,scattered clouds
10,Georgetown,MY,5.4112,100.3354,76.98,95,40,0.0,thunderstorm with light rain
11,Victoria,HK,22.2855,114.1577,67.32,74,3,4.0,clear sky
12,Nuuk,GL,64.1835,-51.7216,32.61,93,90,5.75,snow
13,Gat,IL,31.61,34.7642,63.81,69,99,4.23,overcast clouds
14,Port-Cartier,CA,50.0334,-66.8654,35.82,54,0,15.26,clear sky
15,East London,ZA,-33.0153,27.9116,62.37,70,96,6.64,overcast clouds
16,Nikolskoye,RU,59.7035,30.7861,32.81,88,77,3.69,broken clouds
17,Concepcion Del Oro,MX,24.6333,-101.4167,69.51,30,42,11.14,scattered clouds
18,Mataura,NZ,-46.1927,168.8643,60.75,46,100,3.83,overcast clouds
19,Ushuaia,AR,-54.8,-68.3,51.42,62,40,24.16,scattered clouds
20,Asyut,EG,27.181,31.1837,62.78,46,31,6.24,scattered clouds
21,Kasongo,CD,-4.45,26.6667,70.02,93,86,2.04,light rain
22,Tateyama,JP,34.9833,139.8667,46.42,63,0,12.44,clear sky
23,Saskylakh,RU,71.9167,114.0833,-13.94,94,87,8.93,overcast clouds
24,Rundu,NA,-17.9333,19.7667,76.91,14,0,4.12,clear sky
25,Bethel,US,41.3712,-73.414,44.49,45,1,1.01,clear sky
26,New Norfolk,AU,-42.7826,147.0587,61.75,51,8,3.29,clear sky
27,Sal Rei,CV,16.1833,-22.9167,77.56,79,92,7.81,overcast clouds
28,Vrangel,RU,42.7297,133.0839,24.21,58,10,13.04,clear sky
29,Roma,US,43.2128,-75.4557,44.46,56,1,0.0,clear sky
30,Ancud,CL,-41.8697,-73.8203,65.43,85,91,12.77,overcast clouds
31,Beringovskiy,RU,63.05,179.3167,-2.92,81,100,6.15,overcast clouds
32,Vaini,TO,-21.2,-175.2,84.36,79,20,4.61,few clouds
33,Kawalu,ID,-7.3817,108.2082,72.99,97,96,0.13,overcast clouds
34,Severo-Kurilsk,RU,50.6789,156.125,37.35,98,100,17.76,moderate rain
35,Kincardine,GB,56.0667,-3.7167,41.09,83,5,6.69,clear sky
36,Chuy,UY,-33.6971,-53.4616,76.26,46,0,6.85,clear sky
37,Punta Arenas,CL,-53.15,-70.9167,57.31,33,20,17.27,few clouds
38,Barrow,US,71.2906,-156.7887,-7.58,77,75,9.22,broken clouds
39,Sao Sebastiao,BR,-23.76,-45.4097,73.38,81,62,1.97,broken clouds
40,Leningradskiy,RU,69.3833,178.4167,-15.38,96,100,4.12,overcast clouds
41,Ypsonas,CY,34.6884,32.9574,61.77,88,40,8.05,scattered clouds
42,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,78,0,11.5,clear sky
43,Ormond Beach,US,29.2858,-81.0559,71.1,54,40,13.8,scattered clouds
44,Busselton,AU,-33.65,115.3333,58.08,82,42,11.63,scattered clouds
45,Atuona,PF,-9.8,-139.0333,77.27,80,32,11.01,light rain
46,Gdynia,PL,54.5189,18.5319,46.04,89,75,6.91,broken clouds
47,Ndele,CF,8.4109,20.6473,75.85,26,2,4.07,clear sky
48,Puerto Ayora,EC,-0.7393,-90.3518,82.36,71,66,11.45,broken clouds
49,Arman,RU,59.7,150.1667,12.51,76,5,8.57,clear sky
50,Rakoshyno,UA,48.4671,22.5969,34.56,81,14,3.6,few clouds
51,Pangnirtung,CA,66.1451,-65.7125,21.2,68,90,9.22,light snow
52,Harsin,IR,34.2721,47.5861,32.81,48,100,2.84,overcast clouds
53,Barcelos,PT,41.5388,-8.6151,50.92,82,45,7.11,scattered clouds
54,Bluff,NZ,-46.6,168.3333,55.81,66,100,7.43,overcast clouds
55,Cape Town,ZA,-33.9258,18.4232,65.1,47,0,13.8,clear sky
56,Kavaratti,IN,10.5669,72.642,81.1,76,100,2.13,overcast clouds
57,Walvis Bay,NA,-22.9575,14.5053,60.1,88,51,9.22,broken clouds
58,Ardahan,TR,41.1087,42.7022,30.61,91,99,3.87,overcast clouds
59,Codrington,AU,-38.2667,141.9667,58.48,82,18,10.11,few clouds
60,Butaritari,KI,3.0707,172.7902,82.17,70,95,14.27,overcast clouds
61,Saint-Pierre,RE,-21.3393,55.4781,76.68,71,0,3.44,clear sky
62,Bacon,PH,13.0378,124.0411,80.91,86,100,13.27,overcast clouds
63,Bambous Virieux,MU,-20.3428,57.7575,76.21,88,40,4.61,scattered clouds
64,Salinas,US,36.6777,-121.6555,68.83,19,1,0.0,clear sky
65,Buraydah,SA,26.326,43.975,64.85,41,1,9.78,clear sky
66,Avarua,CK,-21.2078,-159.775,78.85,69,90,9.22,overcast clouds
67,Yulara,AU,-25.2406,130.9889,58.84,77,0,9.22,clear sky
