City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saskylakh,71.9167,114.0833,-24.95,97,39,7.78,RU,2021-11-22 02:25:44
1,Tiksi,71.6872,128.8694,-16.29,99,98,0.94,RU,2021-11-22 02:25:45
2,Teya,60.3778,92.6267,5.59,97,100,3.36,RU,2021-11-22 02:25:45
3,San Cristobal,7.7669,-72.225,69.98,94,95,1.5,VE,2021-11-22 02:25:46
4,Hermanus,-34.4187,19.2345,66.9,89,100,16.55,ZA,2021-11-22 02:25:46
5,Jamestown,42.097,-79.2353,42.39,98,90,11.99,US,2021-11-22 02:24:06
6,Ushuaia,-54.8,-68.3,37.06,75,90,18.41,AR,2021-11-22 02:24:49
7,Vaini,-21.2,-175.2,80.76,94,75,5.75,TO,2021-11-22 02:25:48
8,Port Alfred,-33.5906,26.891,68.81,82,100,11.77,ZA,2021-11-22 02:25:49
9,Cabedelo,-6.9811,-34.8339,79.47,75,11,13.18,BR,2021-11-22 02:25:49
10,Castro,-24.7911,-50.0119,56.26,77,7,4.61,BR,2021-11-22 02:25:50
11,Mataura,-46.1927,168.8643,53.96,81,100,1.97,NZ,2021-11-22 02:25:51
12,Tutoia,-2.7619,-42.2744,80.67,79,6,12.91,BR,2021-11-22 02:25:52
13,Chokurdakh,70.6333,147.9167,-15.92,99,100,2.8,RU,2021-11-22 02:24:14
14,Constitucion,-35.3333,-72.4167,57.0,77,4,11.7,CL,2021-11-22 02:25:52
15,Cidreira,-30.1811,-50.2056,68.65,76,0,13.8,BR,2021-11-22 02:25:53
16,Pevek,69.7008,170.3133,-19.93,99,23,3.76,RU,2021-11-22 02:25:53
17,Chuy,-33.6971,-53.4616,67.37,81,0,8.55,UY,2021-11-22 02:25:54
18,Busselton,-33.65,115.3333,65.05,47,16,15.39,AU,2021-11-22 02:25:54
19,Maarianhamina,60.0973,19.9348,19.26,100,98,1.14,AX,2021-11-22 02:25:55
20,Bredasdorp,-34.5322,20.0403,63.28,88,100,15.03,ZA,2021-11-22 02:25:55
21,Qaanaaq,77.484,-69.3632,-9.53,73,23,5.93,GL,2021-11-22 02:25:56
22,Ossora,59.2353,163.0719,17.29,91,98,14.34,RU,2021-11-22 02:25:56
23,Uglovskoye,51.3557,80.1942,26.1,69,100,23.78,RU,2021-11-22 02:21:15
24,Cherskiy,68.75,161.3,-30.69,99,18,4.85,RU,2021-11-22 02:25:57
25,Beloha,-25.1667,45.05,65.01,74,2,9.8,MG,2021-11-22 02:25:58
26,Bambous Virieux,-20.3428,57.7575,73.65,88,75,3.44,MU,2021-11-22 02:25:58
27,Severo-Kurilsk,50.6789,156.125,38.35,87,37,11.12,RU,2021-11-22 02:25:59
28,Albany,42.6001,-73.9662,48.78,71,100,1.99,US,2021-11-22 02:24:35
29,Tasiilaq,65.6145,-37.6368,32.16,96,100,9.04,GL,2021-11-22 02:26:00
30,Roald,62.5833,6.1333,39.34,81,40,14.97,NO,2021-11-22 02:26:00
31,Kapaa,22.0752,-159.319,82.38,70,40,3.0,US,2021-11-22 02:26:01
32,Miandrivazo,-19.5167,45.4667,80.51,71,70,2.62,MG,2021-11-22 02:26:01
33,Henties Bay,-22.116,14.2845,59.86,91,0,6.96,NA,2021-11-22 02:26:02
34,Tuktoyaktuk,69.4541,-133.0374,-11.2,84,1,4.61,CA,2021-11-22 02:26:02
35,Sao Filipe,14.8961,-24.4956,81.99,65,100,8.48,CV,2021-11-22 02:26:03
36,Cape Town,-33.9258,18.4232,67.12,79,20,26.46,ZA,2021-11-22 02:24:35
37,Punta Arenas,-53.15,-70.9167,39.31,75,75,25.32,CL,2021-11-22 02:26:04
38,Dalnegorsk,44.5604,135.5701,40.64,100,100,7.72,RU,2021-11-22 02:26:04
39,Juneau,58.3019,-134.4197,41.85,97,90,8.01,US,2021-11-22 02:21:38
40,Lebu,-37.6167,-73.65,54.41,92,73,18.63,CL,2021-11-22 02:26:05
41,Husavik,66.0449,-17.3389,44.51,80,51,11.54,IS,2021-11-22 02:26:06
42,Vanimo,-2.6741,141.3028,87.17,62,46,3.96,PG,2021-11-22 02:26:07
43,Thompson,55.7435,-97.8558,-3.84,84,1,6.91,CA,2021-11-22 02:26:07
44,Namatanai,-3.6667,152.4333,86.43,66,14,8.79,PG,2021-11-22 02:26:08
45,Rikitea,-23.1203,-134.9692,74.5,61,3,4.38,PF,2021-11-22 02:23:27
46,Erice,38.037,12.5865,54.07,88,40,12.66,IT,2021-11-22 02:27:09
47,Senneterre,48.3835,-77.2328,34.02,97,100,14.63,CA,2021-11-22 02:27:09
48,Tadine,-21.55,167.8833,81.32,65,0,6.71,NC,2021-11-22 02:27:10
49,Baijiantan,45.6333,85.1833,22.14,45,30,4.9,CN,2021-11-22 02:27:11
50,Raudeberg,61.9875,5.1352,38.86,83,100,4.0,NO,2021-11-22 02:27:11
51,Dikson,73.5069,80.5464,-12.12,75,10,13.22,RU,2021-11-22 02:27:12
52,Cam Ranh,11.9214,109.1591,78.76,94,75,11.5,VN,2021-11-22 02:27:12
53,Kavaratti,10.5669,72.642,80.56,74,5,4.79,IN,2021-11-22 02:27:13
54,Saint-Philippe,-21.3585,55.7679,76.55,67,4,2.13,RE,2021-11-22 02:27:14
55,Tessalit,20.1986,1.0114,68.5,30,2,9.01,ML,2021-11-22 02:27:14
56,Butaritari,3.0707,172.7902,81.3,78,22,8.79,KI,2021-11-22 02:27:15
57,Muros,42.7762,-9.0603,52.09,84,35,16.33,ES,2021-11-22 02:27:16
58,Puyo,-1.4667,-77.9833,64.72,98,98,2.59,EC,2021-11-22 02:27:16
59,Hobart,-42.8794,147.3294,73.02,53,40,1.01,AU,2021-11-22 02:25:29
60,Saint-Andre-Avellin,45.7168,-75.066,39.83,98,100,9.89,CA,2021-11-22 02:27:17
61,Avarua,-21.2078,-159.775,82.45,74,90,3.44,CK,2021-11-22 02:27:17
62,Iquique,-20.2208,-70.1431,62.64,73,100,3.47,CL,2021-11-22 02:27:18
